# Agri-Monitor v5 data log
# study_id: TST1234
# operator: DAKS
# crop: Eng. Cucumber
# location: V
# planting: 2026-06-08
epoch_unix,uptime_ms,slot,plot_id,treatment,replicate,block,depth_cm,temp_c_x10,moist_pct_x10,moist_calib_x10,rssi_neg,flags,seq,temp_alert,moist_alert,sleep_interval_s
1780952059,7624037,1,P1,0,1,1,20,338,257,257,80,0,9339,,,300
1780952087,7651435,2,P2,1,1,1,20,312,222,222,83,0,17187,,,300
1780952360,7924311,1,P1,0,1,1,20,338,258,258,83,0,9340,,,300
1780952387,7951819,2,P2,1,1,1,20,312,223,223,81,0,17188,,,300
1780952643,8207461,3,p3,1,1,1,20,319,229,229,80,0,16991,,,300
1780952660,8224760,1,P1,0,1,1,20,338,258,258,81,0,9341,,,300
1780952687,8252203,2,P2,1,1,1,20,313,226,226,83,0,17189,,,300
1780952943,8507736,3,p3,1,1,1,20,319,229,229,82,0,16992,,,300
1780952960,8525032,1,P1,0,1,1,20,337,258,258,84,0,9342,,,300
1780952988,8552483,2,P2,1,1,1,20,313,226,226,85,0,17190,,,300
1780953243,8808011,3,p3,1,1,1,20,319,232,232,81,0,16993,,,300
1780953261,8825308,1,P1,0,1,1,20,337,258,258,81,0,9343,,,300
1780953544,9108290,3,p3,1,1,1,20,319,237,237,80,0,16994,,,300
1780953561,9125582,1,P1,0,1,1,20,337,258,258,83,0,9344,,,300
1780953589,9153387,2,P2,1,1,1,20,313,226,226,79,0,17192,,,300
1780953844,9408568,3,p3,1,1,1,20,319,239,239,81,0,16995,,,300
1780953861,9425859,1,P1,0,1,1,20,337,258,258,80,0,9345,,,300
1780953889,9453662,2,P2,1,1,1,20,313,226,226,79,0,17193,,,300
1780954144,9708894,3,p3,1,1,1,20,319,240,240,81,0,16996,,,300
1780954162,9726273,1,P1,0,1,1,20,336,258,258,80,0,9346,,,300
1780954189,9753937,2,P2,1,1,1,20,313,226,226,78,0,17194,,,300
1780954444,10009167,3,p3,1,1,1,20,319,240,240,83,0,16997,,,300
1780954462,10026698,1,P1,0,1,1,20,336,258,258,78,0,9347,,,300
1780954489,10054210,2,P2,1,1,1,20,313,225,225,80,0,17195,,,300
1780954745,10309444,3,p3,1,1,1,20,320,240,240,82,0,16998,,,300
1780954762,10327150,1,P1,0,1,1,20,335,258,258,81,0,9348,,,300
1780954790,10354485,2,P2,1,1,1,20,312,225,225,80,0,17196,,,300
1780955045,10609725,3,p3,1,1,1,20,319,240,240,83,0,16999,,,300
1780955063,10627553,1,P1,0,1,1,20,335,258,258,81,0,9349,,,300
